"Guid","AccountId","Comments","Description","IsEscalated","Origin","ParentId","Priority","Reason","Status","Subject","SuppliedCompany","SuppliedEmail","SuppliedName","SuppliedPhone","Type"
03ab580e-5baf-435b-8f98-30eafdfb4aaa,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Other,Closed,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
03d42f3d-6126-42ef-bda6-6bb800cc049a,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Breakdown,Closed,Structural breakdown of rotor assembly,"#N/A","#N/A","#N/A","#N/A",Structural
03d6893a-3741-44a2-947e-60e5fa7b726c,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,"#N/A",New,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
04abfd62-eb1c-4416-8590-f456dda39797,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Equipment Complexity,Closed,Starting generator after electrical failure,"#N/A","#N/A","#N/A","#N/A",Electrical
0544312f-5a24-4363-8728-618c5cfa9c0a,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Installation,Closed,Easy installation process,"#N/A","#N/A","#N/A","#N/A",Other
0746a250-a4a0-4ae0-a524-f6194395ec42,"#N/A","#N/A","#N/A",false,Web,"#N/A",High,Equipment Design,Closed,Structural failure of generator base,"#N/A","#N/A","#N/A","#N/A",Structural
0749fbf0-41c9-4993-8ddd-0aa8e65860b0,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Performance,Closed,Power generation below stated level,"#N/A","#N/A","#N/A","#N/A",Electrical
07603354-7690-41c6-8c2c-6b2d495da420,"#N/A","#N/A","#N/A",false,Web,"#N/A",High,Equipment Design,Closed,Structural failure of generator base,"#N/A","#N/A","#N/A","#N/A",Structural
08252684-e4d1-42a0-8dcc-356be8f5704e,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Other,Closed,Electric surge damaging adjacent equipment,"#N/A","#N/A","#N/A","#N/A",Electrical
082c3d4a-1229-4701-968b-edd990dfda96,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Feedback,Closed,Customer service for portable generators needs beefing up,"#N/A","#N/A","#N/A","#N/A",Other
0882ee72-c870-45bb-83b2-854b13a71deb,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Performance,Closed,Power generation below stated level,"#N/A","#N/A","#N/A","#N/A",Electrical
08f44142-d1ef-48ee-8107-be023e7050a2,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Installation,New,Seeking guidance on electrical wiring installation for GC5060,"#N/A","#N/A","#N/A","#N/A",Electrical
090a7982-190a-40f4-a5c4-a208c825e5d2,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Equipment Design,Closed,Electronic panel fitting loose,"#N/A","#N/A","#N/A","#N/A",Electronic
0925ced7-4028-4b22-a197-9ea42b76484c,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Breakdown,Closed,Repeated motor breakdown while shutting off,"#N/A","#N/A","#N/A","#N/A",Electrical
0928ab9d-852d-4ff0-87d3-960c23138fc1,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Performance,Closed,Power generation below stated level,"#N/A","#N/A","#N/A","#N/A",Electrical
09e48291-0c4c-42fb-8f14-11ad08b18c8e,"#N/A","#N/A","#N/A",false,Web,"#N/A",High,Equipment Design,Closed,Structural failure of generator base,"#N/A","#N/A","#N/A","#N/A",Structural
0a4609da-9c5a-4d86-a4cc-4dbabd8ac610,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Breakdown,Closed,Repeated motor breakdown while shutting off,"#N/A","#N/A","#N/A","#N/A",Electrical
0aeb0047-088e-400d-9ff0-30ef2bccafe3,"#N/A","#N/A","#N/A",false,Email,"#N/A",Medium,"#N/A",New,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
0bebf614-ac4b-4a3a-b025-7c904889bd48,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Breakdown,Closed,Repeated motor breakdown while shutting off,"#N/A","#N/A","#N/A","#N/A",Electrical
0c4861a3-e5b0-46a8-ac91-aa37b1b16322,"#N/A","#N/A","#N/A",false,Web,"#N/A",High,Equipment Design,Closed,Structural failure of generator base,"#N/A","#N/A","#N/A","#N/A",Structural
0c512973-59df-4d6f-8643-defe088c4d68,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Installation,Closed,Easy installation process,"#N/A","#N/A","#N/A","#N/A",Other
0c557fd1-072a-4885-a11e-97b9aee3dd67,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Performance,Closed,Electrical circuit malfunctioning,"#N/A","#N/A","#N/A","#N/A",Electrical
0d178918-fb65-41be-b40f-87bfd0eba702,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Performance,Closed,Electrical circuit malfunctioning,"#N/A","#N/A","#N/A","#N/A",Electrical
0d52c084-f659-408b-8b75-ba26562b1543,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Installation,Closed,Delay in installation; spare parts unavailable,"#N/A","#N/A","#N/A","#N/A",Other
0d6fdd1a-81de-4194-9501-0d24e8e38d0a,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Equipment Design,Closed,Motor design hindering performance,"#N/A","#N/A","#N/A","#N/A",Electrical
0d8ba51b-18de-4579-a27c-5fb7e55920ae,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Other,Closed,Mechanical maintenance guidelines for generator misleading,"#N/A","#N/A","#N/A","#N/A",Mechanical
0dc64d40-0b0f-4f78-984d-b71b9bf7d52a,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Performance,Closed,Performance inadequate for second consecutive week,"#N/A","#N/A","#N/A","#N/A",Electrical
0dfac098-324d-4071-833e-4cde39e24da7,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Breakdown,Closed,Frequent mechanical breakdown,"#N/A","#N/A","#N/A","#N/A",Mechanical
0e26afb7-9525-4da7-814a-dd21d9011a6a,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Installation,New,Seeking guidance on electrical wiring installation for GC5060,"#N/A","#N/A","#N/A","#N/A",Electrical
0eeeb86d-8ee8-4035-8b35-a0799ae8410f,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Equipment Design,New,Design issue with mechanical rotor,"#N/A","#N/A","#N/A","#N/A",Mechanical
0f399bc2-d1e5-43cd-b7b5-acb929499639,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Equipment Design,New,Design issue with mechanical rotor,"#N/A","#N/A","#N/A","#N/A",Mechanical
10ca254f-f0f0-49cb-9a9c-bf980932976a,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Performance,Closed,Performance inadequate for second consecutive week,"#N/A","#N/A","#N/A","#N/A",Electrical
111cb569-b30f-4916-8b55-be2d167b36d0,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Other,Closed,Mechanical maintenance guidelines for generator misleading,"#N/A","#N/A","#N/A","#N/A",Mechanical
122328c2-e684-4b9b-820c-527234b934fd,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Equipment Design,Closed,Electronic panel fitting loose,"#N/A","#N/A","#N/A","#N/A",Electronic
12455991-caf0-4dbd-9af6-2151cde8f148,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Performance,Closed,Signal panel on GC5060 blinks intermittently,"#N/A","#N/A","#N/A","#N/A",Electronic
1246237d-2e54-4605-aad2-35a22cc0b4bf,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Other,Closed,Mechanical maintenance guidelines for generator misleading,"#N/A","#N/A","#N/A","#N/A",Mechanical
12e6b062-819d-4e83-a550-ca07e2c0b9a7,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Installation,Closed,Easy installation process,"#N/A","#N/A","#N/A","#N/A",Other
12f5536f-8228-46e1-979e-ef12a18bc3cb,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Low,Feedback,Closed,Generator assembly instructions unclear,"#N/A","#N/A","#N/A","#N/A",Other
132df134-4110-415b-a268-42e74df01730,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Equipment Design,New,Design issue with mechanical rotor,"#N/A","#N/A","#N/A","#N/A",Mechanical
1364d633-d863-4d33-b750-997f0d9b2152,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Equipment Complexity,Closed,Shutting down of generator,"#N/A","#N/A","#N/A","#N/A",Mechanical
139596fe-3383-4abf-ab53-b0a7882a65f5,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Performance,Closed,Electrical circuit malfunctioning,"#N/A","#N/A","#N/A","#N/A",Electrical
148b6ac1-c640-4929-a990-4dda17d40c7e,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Installation,Closed,Delay in installation; spare parts unavailable,"#N/A","#N/A","#N/A","#N/A",Other
14c855b0-c105-4940-a9f1-4f04c943162c,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Installation,Closed,Delay in installation; spare parts unavailable,"#N/A","#N/A","#N/A","#N/A",Other
14cd318d-30de-4998-b8ac-140259f6b939,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Performance,Closed,Performance inadequate for second consecutive week,"#N/A","#N/A","#N/A","#N/A",Electrical
14d12449-6b77-487a-89ef-1ac8b4a8ae6f,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Equipment Design,Closed,Electronic panel fitting loose,"#N/A","#N/A","#N/A","#N/A",Electronic
15023f6d-8ea4-4c5b-8add-2dcebf070df6,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Equipment Complexity,Closed,Cannot start generator after electrical failure,"#N/A","#N/A","#N/A","#N/A",Electrical
15a416f1-cba4-4d5f-b4a4-11bd324cbe70,"#N/A","#N/A","#N/A",false,Email,"#N/A",Medium,"#N/A",New,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
166a9a5a-45fa-4604-8d46-a0b844ad07c7,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Feedback,Closed,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
167e7284-7b40-42d9-bb77-454a8cc16c3f,"#N/A","#N/A","#N/A",false,Email,"#N/A",Medium,"#N/A",New,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
16922aed-0c75-44f6-9897-57f97267869e,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Equipment Complexity,Closed,Cannot start generator after electrical failure,"#N/A","#N/A","#N/A","#N/A",Electrical
169a68c4-76ff-450e-a4d2-bb8e5bdcf00c,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Installation,Closed,Generator GC3060 platform structure is weakening,"#N/A","#N/A","#N/A","#N/A",Structural
16aa93be-80bb-4f45-8f57-40deff6fbc35,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Installation,New,Seeking guidance on electrical wiring installation for GC5060,"#N/A","#N/A","#N/A","#N/A",Electrical
16db4278-5823-4368-9e90-754ac30c8812,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Feedback,Closed,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
17271674-7911-4dca-b0f8-25035987246a,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Other,Closed,Electric surge damaging adjacent equipment,"#N/A","#N/A","#N/A","#N/A",Electrical
17bd8d55-2b2c-4160-96b8-33c452de3acf,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Performance,Closed,Power generation below stated level,"#N/A","#N/A","#N/A","#N/A",Electrical
18c74d58-5d3e-4478-9781-9c18ecd37fea,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,"#N/A",Escalated,Sample Case: Our Widgets have not been delivered.,"#N/A","#N/A","#N/A","#N/A","#N/A"
190b7245-cc03-4e40-9a18-091e11e8bd6b,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Installation,Closed,Delay in installation; spare parts unavailable,"#N/A","#N/A","#N/A","#N/A",Other
19430eb4-2919-44b0-8136-017c0abec2d9,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Performance,Closed,Power generation below stated level,"#N/A","#N/A","#N/A","#N/A",Electrical
1953733c-ff73-47a4-b74e-82a1e745ede8,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Installation,Closed,Delay in installation; spare parts unavailable,"#N/A","#N/A","#N/A","#N/A",Other
1961c057-d3b5-45a6-bc7c-a4b6a55bf28b,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Installation,Closed,Delay in installation; spare parts unavailable,"#N/A","#N/A","#N/A","#N/A",Other
1976ecd3-c288-4b03-afe1-1aec3a96c911,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Equipment Design,Closed,Electronic panel fitting loose,"#N/A","#N/A","#N/A","#N/A",Electronic
19daca42-c987-41e7-ab04-d1a4645b012c,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Instructions not clear,New,Sample Case 2: The widgets we received are the wrong size.,"#N/A","#N/A","#N/A","#N/A","#N/A"
1a25a9c2-39b9-44d8-87fb-e0333125dafc,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Low,Feedback,Closed,Generator assembly instructions unclear,"#N/A","#N/A","#N/A","#N/A",Other
1a36f56d-b4fa-4c46-95f5-4a7d272aed94,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Equipment Complexity,Closed,Cannot start generator after electrical failure,"#N/A","#N/A","#N/A","#N/A",Electrical
1af6ab30-7a29-427f-9f21-e399e63fb03f,"#N/A","#N/A","#N/A",false,Web,"#N/A",High,Equipment Design,Closed,Structural failure of generator base,"#N/A","#N/A","#N/A","#N/A",Structural
1b4aa4ae-eaac-44f6-a693-526c7058c496,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Other,Closed,Electric surge damaging adjacent equipment,"#N/A","#N/A","#N/A","#N/A",Electrical
1b7c3c51-e337-4eb4-ab57-05b437ba13cb,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Performance,Closed,Electrical circuit malfunctioning,"#N/A","#N/A","#N/A","#N/A",Electrical
1baaad3a-954d-4193-8c7f-c88180fcdaf6,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Performance,Closed,Signal panel on GC5060 blinks intermittently,"#N/A","#N/A","#N/A","#N/A",Electronic
1c91034c-71a7-4e4f-bb4b-fd523854b3f3,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Breakdown,Closed,Frequent mechanical breakdown,"#N/A","#N/A","#N/A","#N/A",Mechanical
1d1bb01b-f633-41b2-846b-0f45c7dc302e,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Installation,Closed,Generator GC3060 platform structure is weakening,"#N/A","#N/A","#N/A","#N/A",Structural
1df6c8eb-d81d-4f5c-85b6-29e5bf8b2ce6,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Performance,Closed,Electrical circuit malfunctioning,"#N/A","#N/A","#N/A","#N/A",Electrical
1e608d16-22bf-4bce-8c0e-f930c6b5e6d6,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Breakdown,Closed,Repeated motor breakdown while shutting off,"#N/A","#N/A","#N/A","#N/A",Electrical
1ecf5894-07cd-4f2e-917b-5863e7a54b38,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Equipment Complexity,Closed,Starting generator after electrical failure,"#N/A","#N/A","#N/A","#N/A",Electrical
1f351e3a-b103-4bd3-af32-40edcbd740e3,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Other,Closed,Electric surge damaging adjacent equipment,"#N/A","#N/A","#N/A","#N/A",Electrical
1f6346a7-a335-4e82-aebc-578106d6ff0a,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Equipment Design,Closed,Starting up generator consumes excessive power,"#N/A","#N/A","#N/A","#N/A",Other
1f932cb9-75e7-4b36-8e62-c9f16ea48601,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Feedback,New,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
200c134a-8f1f-46c7-a3d1-7a47e1e127c4,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Breakdown,Closed,Frequent mechanical breakdown,"#N/A","#N/A","#N/A","#N/A",Mechanical
20649c03-d993-4296-82c5-f6bf730398f4,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Performance,Closed,Signal panel on GC5060 blinks intermittently,"#N/A","#N/A","#N/A","#N/A",Electronic
20e36f71-574d-4c73-9a2c-6ed44fab0a7d,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Feedback,New,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
20f62c5e-48ba-4345-a796-b6afd6ea87fd,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Performance,Closed,Power generation below stated level,"#N/A","#N/A","#N/A","#N/A",Electrical
21bc07ff-b9fb-472c-b79c-f4e39b4020ae,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Other,Closed,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
236a0da4-219a-4ce8-aa80-9f627cc11992,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Breakdown,Closed,Repeated motor breakdown while shutting off,"#N/A","#N/A","#N/A","#N/A",Electrical
23a61680-f160-4d0a-bbb4-ec7052cd7934,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Performance,Closed,Signal panel on GC5060 blinks intermittently,"#N/A","#N/A","#N/A","#N/A",Electronic
24604ff8-c484-4691-aede-04f827cc62e6,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Feedback,Closed,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
24f870ae-199c-4852-879a-f3d3c9f05662,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Installation,New,Seeking guidance on electrical wiring installation for GC5060,"#N/A","#N/A","#N/A","#N/A",Electrical
2567b98d-8f22-4e03-b160-1091b3bb3e96,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Equipment Complexity,Closed,Shutting down of generator,"#N/A","#N/A","#N/A","#N/A",Mechanical
2574f316-3168-4a63-b954-fd9b9fc81f3c,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Equipment Complexity,Closed,Shutting down of generator,"#N/A","#N/A","#N/A","#N/A",Mechanical
2598e9c9-f6ca-4730-80b0-11f4e1e05488,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Feedback,Closed,Customer service for portable generators needs beefing up,"#N/A","#N/A","#N/A","#N/A",Other
25a18e81-8495-4e97-9d24-f1c89be64925,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Installation,Closed,Generator GC3060 platform structure is weakening,"#N/A","#N/A","#N/A","#N/A",Structural
25bab2f8-5bc9-42ee-989f-e59548c90c47,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Breakdown,Closed,Structural breakdown of rotor assembly,"#N/A","#N/A","#N/A","#N/A",Structural
25bb46b4-e932-48e7-a331-b491368b2e2a,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Installation,New,Seeking guidance on electrical wiring installation for GC5060,"#N/A","#N/A","#N/A","#N/A",Electrical
261c5d72-d264-48d6-9095-183d85d8610a,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Installation,Closed,Generator GC3060 platform structure is weakening,"#N/A","#N/A","#N/A","#N/A",Structural
264bd752-fca3-43a6-b5e0-851d50a40ce0,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Equipment Design,New,Design issue with mechanical rotor,"#N/A","#N/A","#N/A","#N/A",Mechanical
278a3bf6-33e6-4668-b9e8-5d51278312da,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Feedback,New,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
27d0deae-3eb6-4ec0-816e-b106e64da24d,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Equipment Design,Closed,Electronic panel fitting loose,"#N/A","#N/A","#N/A","#N/A",Electronic
27d2f9f6-5e09-4caa-a1cf-aa6d2babf670,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Feedback,Closed,Customer service for portable generators needs beefing up,"#N/A","#N/A","#N/A","#N/A",Other
28731a8e-7c25-4f61-9fb7-b2f53ebdb2c6,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Performance,Closed,Electrical circuit malfunctioning,"#N/A","#N/A","#N/A","#N/A",Electrical
2963cff1-d8bd-4b06-ab78-780f5e25163e,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Other,Closed,Mechanical maintenance guidelines for generator misleading,"#N/A","#N/A","#N/A","#N/A",Mechanical
2982629c-4c83-4614-a48a-92ea03527876,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Feedback,Closed,Customer service for portable generators needs beefing up,"#N/A","#N/A","#N/A","#N/A",Other
299728b8-43e9-4a39-81bd-8d594260e772,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Feedback,New,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
29b784ed-ec78-45a2-9a58-7d00e63183f7,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Equipment Complexity,Closed,Cannot start generator after electrical failure,"#N/A","#N/A","#N/A","#N/A",Electrical
2a6640a4-cf0a-44f1-9b65-95adb06aad4b,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Feedback,New,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
2abe35aa-dc31-410d-bad8-e5b73734655d,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Equipment Complexity,Closed,Shutting down of generator,"#N/A","#N/A","#N/A","#N/A",Mechanical
2b665406-566a-4830-abdd-e95d1843179b,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Equipment Complexity,Closed,Starting generator after electrical failure,"#N/A","#N/A","#N/A","#N/A",Electrical
2bffc1f3-4a4a-4c87-af45-0ba4d937f422,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Performance,Closed,Power generation below stated level,"#N/A","#N/A","#N/A","#N/A",Electrical
2de798a4-0e3c-4da3-8501-8904acb9f8a1,"#N/A","#N/A","#N/A",false,Email,"#N/A",Medium,"#N/A",On Hold,"#N/A","#N/A","#N/A","#N/A","#N/A",Problem
2ec1ac93-f542-486e-94c4-9fe2ee51bb3a,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Feedback,Closed,Customer service for portable generators needs beefing up,"#N/A","#N/A","#N/A","#N/A",Other
2ef5f667-733b-450a-b1a2-13c52f146c2d,"#N/A","#N/A","#N/A",false,Phone,"#N/A",High,Other,Closed,Electric surge damaging adjacent equipment,"#N/A","#N/A","#N/A","#N/A",Electrical
2fbe4d17-2b0f-47ca-a0eb-256c3f8b9ed5,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Equipment Complexity,Closed,Shutting down of generator,"#N/A","#N/A","#N/A","#N/A",Mechanical
2ffd3077-6949-4765-a28e-2d0e42129267,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Equipment Design,Closed,Electronic panel fitting loose,"#N/A","#N/A","#N/A","#N/A",Electronic
3096f616-0c45-43c9-a6b4-ccda439fc4a2,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Performance,Closed,Signal panel on GC5060 blinks intermittently,"#N/A","#N/A","#N/A","#N/A",Electronic
30cb4dfd-16e6-43c8-8ee2-0cadfa8ac747,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Breakdown,Closed,Frequent mechanical breakdown,"#N/A","#N/A","#N/A","#N/A",Mechanical
30dd16a2-5b46-44bc-950e-39b374f043a6,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,Performance,Closed,Power generation below stated level,"#N/A","#N/A","#N/A","#N/A",Electrical
30ea70e3-8583-425d-bdc8-22d99dc4e67a,"#N/A","#N/A","#N/A",false,Web,"#N/A",Low,Feedback,New,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
31335445-50d6-447b-a0d0-1ad1c0899c78,"#N/A","#N/A","#N/A",false,Email,"#N/A",Medium,"#N/A",On Hold,"#N/A","#N/A","#N/A","#N/A","#N/A",Problem
3173ca97-98a8-4450-85c5-e13e15f4695f,"#N/A","#N/A","#N/A",false,Web,"#N/A",High,Equipment Design,Closed,Structural failure of generator base,"#N/A","#N/A","#N/A","#N/A",Structural
31cc0ba2-e7a9-485f-96b1-ea02345c1dc3,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Equipment Design,Closed,Starting up generator consumes excessive power,"#N/A","#N/A","#N/A","#N/A",Other
31f16c80-df8f-4f82-b14b-b510d537ab9f,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Equipment Design,Closed,Starting up generator consumes excessive power,"#N/A","#N/A","#N/A","#N/A",Other
31f26573-0781-4a73-9165-7a7cce45805a,"#N/A","#N/A","#N/A",false,Web,"#N/A",Medium,Equipment Design,Closed,Starting up generator consumes excessive power,"#N/A","#N/A","#N/A","#N/A",Other
